frame,id,x,y
109,117,373,235
110,76,934,620
110,115,280,403
110,99,400,408
110,108,189,414
110,123,1196,413
110,126,111,627
110,125,571,362
110,116,1745,531
110,127,258,673
111,76,945,617
111,115,314,405
111,128,1293,421
111,99,434,408
111,126,152,630
111,108,227,417
111,129,24,415
111,127,306,673
111,130,1602,418
111,131,1120,540
111,123,1223,428
111,132,448,242
111,133,1385,415
112,76,934,614
112,128,1251,426
112,129,46,414
112,115,266,416
112,99,473,405
112,134,1799,531
112,135,636,366
112,136,1100,427
112,133,1410,418
112,131,1148,540
112,137,150,415
112,127,337,673
113,76,923,611
113,138,388,403
113,99,503,408
113,139,1345,419
113,129,68,413
113,131,1179,537
113,115,298,413
113,128,1277,425
113,140,229,621
113,133,1435,420
113,127,369,665
113,141,1652,418
113,135,668,366
113,134,1825,529
113,142,97,716
114,76,917,622
114,138,420,407
114,139,1301,430
114,99,536,412
114,129,105,417
114,131,1207,538
114,115,337,419
114,142,139,714
114,133,1458,422
114,134,1851,532
114,143,539,637
114,144,1163,426
114,145,839,382
114,146,1762,562
114,147,549,258
114,148,266,268
115,76,920,624
115,99,564,412
115,129,141,418
115,131,1233,539
115,149,1390,422
115,138,450,407
115,115,365,416
115,139,1322,426
115,147,577,266
115,144,1195,424
115,150,783,670
116,76,917,624
116,138,484,409
116,149,1341,423
116,99,596,413
116,131,1257,538
116,115,400,420
116,151,1499,423
116,129,178,419
116,152,1885,531
116,153,1580,418
116,147,605,266
116,154,297,417
116,144,1201,427
116,155,331,274
117,76,910,627
117,138,511,410
117,131,1280,540
117,99,620,411
117,115,429,419
117,156,1431,424
117,129,212,420
117,149,1358,429
117,151,1520,420
117,147,631,271
117,154,319,417
118,76,895,631
118,138,536,412
118,131,1305,539
118,156,1382,428
118,115,457,418
118,99,646,410
118,129,244,419
118,151,1537,420
118,147,656,269
118,154,349,415
118,157,529,662
118,158,1623,414
119,76,874,628
119,138,487,420
119,99,675,413
119,159,1468,422
119,151,1557,418
119,131,1328,533
119,129,272,422
119,160,682,632
119,156,1405,427
119,157,569,659
119,147,685,271
120,76,877,624
120,161,593,413
120,159,1488,426
120,99,697,414
120,138,513,420
120,129,306,421
120,156,1419,405
120,131,1351,534
120,151,1578,419
120,162,1035,627
120,163,449,285
120,147,713,276
120,164,1302,430
121,76,885,622
121,159,1443,417
121,129,336,423
121,131,1375,534
121,99,728,415
121,165,617,651
121,161,627,428
121,138,539,412
121,151,1596,418
121,164,1308,428
122,76,867,619
122,129,366,424
122,131,1400,533
122,161,649,417
122,166,29,412
122,167,1530,423
122,99,752,413
122,159,1460,426
122,168,472,426
122,138,569,423
123,76,870,624
123,161,677,418
123,166,45,412
123,129,398,424
123,131,1422,534
123,99,778,414
123,159,1481,406
123,169,1641,422
123,167,1550,424
123,170,1872,596
123,171,1873,517
123,172,537,291
123,168,499,428
124,76,896,626
124,161,704,418
124,129,428,425
124,166,72,411
124,167,1572,425
124,131,1450,535
124,171,1870,496
124,173,626,420
124,99,803,416
124,159,1499,427
124,168,530,432
125,76,904,628
125,166,110,415
125,174,1869,718
125,167,1528,406
125,129,459,426
125,161,733,419
125,171,1870,539
125,99,826,405
125,131,1473,534
125,175,1042,665
125,168,560,429
125,173,654,421
125,176,849,289
125,177,23,738
125,178,1682,422
126,76,907,630
126,174,1864,720
126,166,142,419
126,129,487,429
126,179,1616,427
126,173,681,419
126,180,25,381
126,161,760,425
126,177,42,721
126,168,588,435
126,167,1547,433
126,131,1497,537
126,175,1071,665
127,76,893,628
127,174,1863,725
127,166,174,419
127,181,1779,664
127,161,784,424
127,179,1568,429
127,129,515,429
127,175,1093,664
127,131,1517,512
127,182,1723,425
127,177,57,697
127,183,299,419
127,184,1004,417
127,168,624,436
127,185,366,350
127,180,41,385
127,186,898,295
128,76,888,630
